iter	Passed	Remaining
0	0	70
1	1	63
2	1	58
3	2	59
4	3	57
5	3	59
6	4	57
7	4	55
8	5	54
9	5	53
10	6	53
11	7	52
12	7	51
13	8	50
14	8	50
15	9	49
16	10	49
17	10	48
18	11	47
19	12	48
20	12	48
21	13	48
22	14	48
23	14	47
24	15	46
25	16	45
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	39
35	21	38
36	22	38
37	22	37
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	32
44	26	32
45	27	32
46	28	32
47	28	31
48	29	30
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	34	24
59	35	23
60	35	22
61	36	22
62	36	21
63	37	21
64	38	20
65	38	19
66	39	19
67	39	18
68	40	18
69	40	17
70	41	17
71	42	16
72	42	15
73	43	15
74	44	14
75	44	14
76	45	13
77	45	12
78	47	12
79	62	15
80	63	14
81	63	13
82	64	13
83	64	12
84	65	11
85	65	10
86	66	9
87	66	9
88	67	8
89	67	7
90	68	6
91	68	5
92	69	5
93	69	4
94	70	3
95	70	2
96	71	2
97	71	1
98	72	0
99	73	0
